item1,item2,n,correlation
vrai,bon,172,0.21176189500145287
quantité,mettre,172,0.27046535435243296
bon,vrai,172,0.21176189500145287
NA,rajouter,172,0.22243208646413568
blanc,NA,171,0.19954857706121024
falloir,bon,171,0.21943951135876402
beurre,bon,171,0.28853321592846565
chocolat,refaire,171,0.22095084743422974
goût,simple,171,0.13479323701874982
NA,blanc,171,0.19954857706121024
simple,goût,171,0.13479323701874982
bon,falloir,171,0.21943951135876402
refaire,chocolat,171,0.22095084743422974
bon,beurre,171,0.28853321592846565
bon,utiliser,170,0.25440662415781046
chocolat,petit,170,0.17385392083736367
utiliser,bon,170,0.25440662415781046
délice,bon,170,0.1545767616835927
cuisson,facile,170,0.1670901437742115
mettre,réaliser,170,0.25100402556015544
réaliser,mettre,170,0.25100402556015544
beurre,sucre,170,0.23273613670241955
facile,cuisson,170,0.1670901437742115
petit,chocolat,170,0.17385392083736367
sucre,beurre,170,0.23273613670241955
bon,délice,170,0.1545767616835927
régal,bon,169,0.24150716452658338
adorer,monde,169,0.4552954412348812
rapide,mettre,169,0.18049417623771968
excellent,sucre,169,0.1973034736358179
sucre,excellent,169,0.1973034736358179
bon,régal,169,0.24150716452658338
monde,adorer,169,0.4552954412348812
mettre,rapide,169,0.18049417623771968
chocolat,super,168,0.18761874430227785
suivi,mettre,168,0.3240814466603814
mettre,suivi,168,0.3240814466603814
délice,sucre,168,0.25449083979011855
pâte,goût,168,0.15697989164220164
goût,pâte,168,0.15697989164220164
super,chocolat,168,0.18761874430227785
sucre,délice,168,0.25449083979011855
pâte,exceller,167,0.13514957516850218
exceller,pâte,167,0.13514957516850218
vrai,délicieux,166,0.2412268106798279
essayer,NA,166,0.3223425955007899
cuisson,petit,166,0.17947477325107833
délice,refaire,166,0.25683999120051954
NA,essayer,166,0.3223425955007899
délicieux,vrai,166,0.2412268106798279
petit,cuisson,166,0.17947477325107833
refaire,délice,166,0.25683999120051954
régal,délicieux,165,0.24267447523263658
rajouter,faire,165,0.2317767955432237
monde,super,165,0.24260978616777537
pâte,super,165,0.22206908046474955
super,monde,165,0.24260978616777537
excellent,refaire,165,0.240595210835683
min,recette,165,0.2710401251134369
excellent,facile,165,0.24197913077377312
recette,min,165,0.2710401251134369
falloir,sucre,165,0.2021071555613138
refaire,excellent,165,0.240595210835683
facile,excellent,165,0.24197913077377312
délicieux,régal,165,0.24267447523263658
sucre,falloir,165,0.2021071555613138
super,pâte,165,0.22206908046474955
faire,rajouter,165,0.2317767955432237
faire,quantité,164,0.2026493591624367
quantité,faire,164,0.2026493591624367
remplacer,faire,164,0.2680762379465827
sucre,monde,164,0.17788514454467028
enfant,recette,164,0.29668733815825077
rajouter,mettre,164,0.24566704827485994
monde,sucre,164,0.17788514454467028
recette,enfant,164,0.29668733815825077
mettre,rajouter,164,0.24566704827485994
faire,remplacer,164,0.2680762379465827
aimer,délicieux,163,0.2068015063596036
dessert,faire,163,0.19822144781529175
prochain,bon,163,0.2779068759530781
bon,prochain,163,0.2779068759530781
faire,dessert,163,0.19822144781529175
chocolat,exceller,163,0.14287656161725637
adorer,simple,163,0.24467562689860992
vrai,sucre,163,0.1745004697902678
régal,sucre,163,0.2686189599222012
sucre,vrai,163,0.1745004697902678
sucre,régal,163,0.2686189599222012
simple,adorer,163,0.24467562689860992
délicieux,aimer,163,0.2068015063596036
exceller,chocolat,163,0.14287656161725637
rapide,délicieux,162,0.2828786366128987
refaire,utiliser,162,0.18212300221632072
vrai,super,162,0.21733998160135282
facile,monde,162,0.28943323006543165
utiliser,refaire,162,0.18212300221632072
beurre,refaire,162,0.19755359502983058
monde,facile,162,0.28943323006543165
réaliser,facile,162,0.45047750949990856
pâte,facile,162,0.2230786071733804
facile,réaliser,162,0.45047750949990856
super,vrai,162,0.21733998160135282
délicieux,rapide,162,0.2828786366128987
facile,pâte,162,0.2230786071733804
refaire,beurre,162,0.19755359502983058
utiliser,délicieux,161,0.25338398453894206
délicieux,utiliser,161,0.25338398453894206
sucre,utiliser,161,0.21104830508863318
lait,recette,161,0.22023705195233703
vrai,exceller,161,0.22245593484789214
utiliser,sucre,161,0.21104830508863318
vrai,goût,161,0.24396183025202842
exceller,vrai,161,0.22245593484789214
goût,vrai,161,0.24396183025202842
cuisson,parfaire,161,0.2479184200686151
parfaire,cuisson,161,0.2479184200686151
recette,lait,161,0.22023705195233703
gâteau,délicieux,160,0.23180891367217396
bon,quantité,160,0.26595380781925243
quantité,bon,160,0.26595380781925243
réaliser,bon,160,0.2387197276168792
aimer,bon,160,0.20374196969206107
meilleur,recette,160,0.24198889547404343
bon,réaliser,160,0.2387197276168792
remplacer,mettre,160,0.3091413743296114
délicieux,gâteau,160,0.23180891367217396
bon,aimer,160,0.20374196969206107
mettre,remplacer,160,0.3091413743296114
recette,meilleur,160,0.24198889547404343
cuire,délicieux,159,0.18984232947548854
suivi,faire,159,0.24447254043968095
prochain,refaire,159,0.30105662181838366
régal,refaire,159,0.33278798422317996
vanille,recette,159,0.25184442173596233
refaire,prochain,159,0.30105662181838366
chocolat,facile,159,0.14648306946584752
délice,facile,159,0.1818876850888503
faire,suivi,159,0.24447254043968095
trouver,sucre,159,0.17305652391666274
refaire,régal,159,0.33278798422317996
cuisson,adorer,159,0.2154536567563209
adorer,cuisson,159,0.2154536567563209
délicieux,cuire,159,0.18984232947548854
recette,vanille,159,0.25184442173596233
sucre,trouver,159,0.17305652391666274
facile,chocolat,159,0.14648306946584752
facile,délice,159,0.1818876850888503
trouver,bon,158,0.17873343010627785
excellent,super,158,0.2648590488845133
pâte,refaire,158,0.13330545003299635
blanc,mettre,158,0.2755655666571175
léger,mettre,158,0.20350076117275598
moelleux,mettre,158,0.3222765030383241
mettre,blanc,158,0.2755655666571175
super,excellent,158,0.2648590488845133
mettre,léger,158,0.20350076117275598
pâte,ajouter,158,0.19269975937088019
mettre,moelleux,158,0.3222765030383241
bon,trouver,158,0.17873343010627785
refaire,pâte,158,0.13330545003299635
ajouter,pâte,158,0.19269975937088019
moelleux,faire,157,0.12808552953874663
enfant,NA,157,0.14858157975930678
rapide,refaire,157,0.25894179547426277
temps,recette,157,0.27417345499910933
beurre,exceller,157,0.18643390799848958
délice,exceller,157,0.29181062795175594
rapide,sucre,157,0.2193139733851782
faire,moelleux,157,0.12808552953874663
recette,temps,157,0.27417345499910933
